feature_name,rank
GYS2,0.403262712449787
GNRH1,0.402883219504537
CDC45,0.402628700395523
SAFB2,0.402610861343186
FLT3LG,0.402578968796304
RHOH,0.402408775328548
RNASE10,0.402244780779986
SMCO4,0.401787311284763
FATE1,0.401562964519623
FAM177B,0.40142700799667
TMPRSS2,0.401279703271416
CDK2AP2,0.401172705714823
FKSG52,0.401023739858565
RP11-1212A22.2,0.400845962227544
PLCB3,0.400599379679293
BEST2,0.400084431193563
C10orf54,0.399499328581624
ADAMTSL4,0.399484522055112
PTOV1,0.398793481560814
PRB1,0.398640289328237
LHB,0.398227682186658
TNFRSF10B,0.398177869037021
LCP1,0.398018265862814
HOOK2,0.397784093501381
LPAR2,0.397268677832396
KIAA1875,0.397264128193388
GGT5,0.397222498583334
PRDM16,0.397206267927105
PSPN,0.396749813301739
CD74,0.396256375850309
